,screennames,firstcomponent,secondcomponent,thirdcomponent
366,RepRiggleman,-1.2417566223162295,0.020422294277226645,-0.004880043707641999
51,GeorgeHWBush,-1.2201307020041172,0.031682605597881774,-0.03736468332260793
559,daveloebsack,-0.5453548713451868,0.044743310006606626,0.03509832810907767
345,RepPaulMitchell,-1.0495700300348467,0.09412516762794704,0.010309819198627803
305,RepLipinski,0.7845624372758176,0.12384812345438874,0.03293595828828651
306,RepLizCheney,-0.9266101166773191,0.12478087937789688,-0.024261582218734836
531,TomReedCongress,-2.979779653427973,0.2101359416817272,-0.007097858278413268
69,JebBush,-0.47700737170064705,0.23741411719208871,-0.07548939629814128
534,TulsiGabbard,-1.3318406187806793,0.2520484500159781,-0.05973295254310427
118,RepAGonzalez,-1.7280027113701735,0.27260844701115455,0.012961416402301968
497,SenatorBurr,0.9086805470943988,0.2784931241463918,-0.04096284999422853
478,SenSasse,-0.11065821519192656,0.30105572864672636,-0.032155193433630616
488,SenToomey,0.664670148655832,0.32540778076460963,-0.02717342353933573
55,GrahamBlog,-0.9967987776827629,0.326189483229679,-0.034059086533703764
426,RepVisclosky,1.0182531352689668,0.33452397689072844,0.04960801730840441
53,GovChristie,-1.050631700245627,0.3516066681687278,-0.0635208446307044
158,RepBrianFitz,-0.6687494498991301,0.36094748420940576,0.02013725955960539
265,RepJenniffer,-0.7617011850728429,0.3668567818636458,0.02837763721273327
229,RepFredUpton,0.33124854330426484,0.4550932977055688,0.0201380185340693
67,InhofePress,-1.1230202555510866,0.46585911194470275,-0.003992248967606987
453,SenCoryGardner,0.48444329814262255,0.47075111725476815,-0.020862846157166607
443,SenAlexander,0.9438059928827226,0.48561088324501434,-0.03692741804193374
594,senrobportman,0.6539348170679846,0.5065173540128196,-0.031480652175790276
586,repgregwalden,0.2741328437785496,0.5348988323058104,0.02064244432667984
2,AEI,-1.8489636754431416,0.5483846117663737,-0.04446262657949798
